so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,77,0.002,0.2,,,2,13,2,4,서울,,1,,1,,2026-04-24 16:00,1,0.009,중구,1,0.062
1,,79,0.003,0.3,,,2,23,2,5,서울,,1,,1,,2026-04-24 16:00,1,0.017,한강대로,1,0.065
1,,75,0.002,0.3,,,2,19,2,12,서울,,1,,1,,2026-04-24 16:00,1,0.011,종로구,1,0.059
1,,68,0.002,0.5,,,2,16,2,8,서울,,1,,1,,2026-04-24 16:00,1,0.022,청계천로,1,0.051
1,,69,0.002,0.3,,,2,16,2,3,서울,,1,,1,,2026-04-24 16:00,1,0.019,종로,1,0.052
1,,77,0.003,0.3,,,2,34,2,11,서울,,1,,1,,2026-04-24 16:00,1,0.016,용산구,2,0.061
1,,-,0.003,0.2,,,2,22,,13,서울,,1,,,,2026-04-24 16:00,1,0.006,광진구,,0.061
1,,69,0.002,0.3,,,2,15,2,5,서울,,1,,1,,2026-04-24 16:00,1,0.022,성동구,1,0.052
1,,74,0.003,0.4,,,2,20,2,3,서울,,2,,1,,2026-04-24 16:00,1,0.044,강변북로,1,0.038
1,,76,0.002,0.2,,,2,18,2,2,서울,,1,,1,,2026-04-24 16:00,1,0.009,중랑구,1,0.061
1,,78,0.002,0.2,,,2,18,2,11,서울,,1,,1,,2026-04-24 16:00,1,0.009,동대문구,1,0.063
1,,64,0.003,0.3,,,2,26,2,6,서울,,1,,1,,2026-04-24 16:00,1,0.017,홍릉로,2,0.047
1,,72,0.003,0.3,,,2,20,2,7,서울,,1,,1,,2026-04-24 16:00,1,0.010,성북구,1,0.055
,통신장애,-,-,-,통신장애,통신장애,,-,,-,서울,통신장애,,통신장애,,통신장애,2026-04-24 16:00,,-,정릉로,,-
1,,79,0.003,0.3,,,2,21,2,8,서울,,1,,1,,2026-04-24 16:00,1,0.010,도봉구,1,0.064
1,,78,0.003,0.3,,,2,19,2,6,서울,,1,,1,,2026-04-24 16:00,1,0.011,은평구,1,0.064
1,,80,0.003,0.3,,,2,20,2,4,서울,,1,,1,,2026-04-24 16:00,1,0.012,서대문구,1,0.066
,통신장애,-,-,-,통신장애,,,20,,-,서울,통신장애,,통신장애,1,통신장애,2026-04-24 16:00,,-,마포구,1,-
,통신장애,-,-,-,통신장애,통신장애,,-,,-,서울,통신장애,,통신장애,1,통신장애,2026-04-24 16:00,,-,신촌로,,-
1,,82,0.003,0.3,,,2,25,2,9,서울,,1,,1,,2026-04-24 16:00,1,0.018,강서구,1,0.069
1,,77,0.003,0.3,,,2,41,2,12,서울,,1,,2,,2026-04-24 16:00,1,0.026,공항대로,2,0.062
1,,85,0.003,0.2,,,2,27,2,8,서울,,1,,1,,2026-04-24 16:00,1,0.013,구로구,1,0.071
1,,77,0.002,0.3,,,2,21,2,11,서울,,1,,1,,2026-04-24 16:00,1,0.016,영등포구,1,0.062
1,,69,0.003,0.3,,,2,20,2,11,서울,,1,,1,,2026-04-24 16:00,1,0.027,영등포로,1,0.052
1,,82,0.003,0.3,,,2,24,2,12,서울,,1,,1,,2026-04-24 16:00,1,0.015,동작구,1,0.067
1,,67,0.003,0.4,,,2,28,2,11,서울,,2,,2,,2026-04-24 16:00,1,0.030,동작대로 중앙차로,1,0.050
1,,81,0.002,0.3,,,2,29,2,8,서울,,1,,1,,2026-04-24 16:00,1,0.014,관악구,1,0.066
1,,77,0.002,0.3,,,2,18,2,7,서울,,1,,1,,2026-04-24 16:00,1,0.014,강남구,1,0.062
1,,74,0.003,0.3,,,2,28,2,13,서울,,1,,1,,2026-04-24 16:00,1,0.014,서초구,1,0.058
1,,75,0.002,0.3,,,2,30,2,7,서울,,1,,1,,2026-04-24 16:00,1,0.017,도산대로,1,0.059
1,,61,0.002,0.4,,,2,32,2,3,서울,,1,,1,,2026-04-24 16:00,1,0.029,강남대로,2,0.042
1,,71,0.002,0.3,,,2,23,2,6,서울,,1,,1,,2026-04-24 16:00,1,0.014,송파구,1,0.055
1,,80,0.002,0.2,,,2,18,2,6,서울,,1,,1,,2026-04-24 16:00,1,0.005,강동구,1,0.065
1,,69,0.002,0.3,,,2,22,2,3,서울,,1,,1,,2026-04-24 16:00,1,0.014,천호대로,1,0.053
1,,82,0.003,0.4,,,2,39,2,12,서울,,1,,1,,2026-04-24 16:00,1,0.019,금천구,1,0.068
1,,68,0.003,0.3,,,2,31,2,13,서울,,2,,1,,2026-04-24 16:00,1,0.039,시흥대로,2,0.051
1,,79,0.002,0.3,,,2,23,2,13,서울,,1,,1,,2026-04-24 16:00,1,0.011,강북구,1,0.064
1,,83,0.003,0.3,,,2,24,2,10,서울,,1,,1,,2026-04-24 16:00,1,0.016,양천구,1,0.069
1,,80,0.002,0.3,,,2,22,2,2,서울,,1,,1,,2026-04-24 16:00,1,0.011,노원구,1,0.066
1,,69,0.002,0.3,,,2,27,2,12,서울,,1,,1,,2026-04-24 16:00,1,0.023,화랑로,1,0.052
