so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,pm10Value,o3Grade,khaiGrade,pm25Value,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,,75,0.002,0.3,,,19,2,2,12,,1,,1,,2026-04-24 16:00,1,0.011,1,0.059
1,,76,0.002,0.3,,,18,2,2,13,,1,,1,,2026-04-24 15:00,1,0.012,1,0.060
1,,77,0.003,0.3,,,22,2,2,12,,1,,1,,2026-04-24 14:00,1,0.014,1,0.061
1,,73,0.003,0.3,,,23,2,2,8,,1,,1,,2026-04-24 13:00,1,0.013,1,0.057
1,,69,0.003,0.3,,,26,2,2,12,,1,,1,,2026-04-24 12:00,1,0.014,1,0.052
1,,63,0.003,0.4,,,25,2,2,16,,1,,1,,2026-04-24 11:00,1,0.018,1,0.044
1,,59,0.003,0.3,,,25,2,2,9,,1,,1,,2026-04-24 10:00,1,0.020,1,0.040
1,,54,0.002,0.3,,,19,2,2,5,,1,,1,,2026-04-24 09:00,1,0.022,1,0.034
1,,55,0.002,0.3,,,19,2,2,10,,1,,1,,2026-04-24 08:00,1,0.020,1,0.035
1,,48,0.003,0.3,,,20,1,1,12,,1,,1,,2026-04-24 07:00,1,0.024,1,0.029
1,,50,0.002,0.3,,,17,1,1,10,,1,,1,,2026-04-24 06:00,1,0.021,1,0.030
1,,58,0.002,0.3,,,19,2,2,10,,1,,1,,2026-04-24 05:00,1,0.014,1,0.039
1,,58,0.002,0.3,,,18,2,2,12,,1,,1,,2026-04-24 04:00,1,0.017,1,0.039
1,,61,0.002,0.3,,,18,2,2,8,,1,,1,,2026-04-24 03:00,1,0.014,1,0.043
1,,61,0.002,0.3,,,20,2,2,12,,1,,1,,2026-04-24 02:00,1,0.015,1,0.043
1,,62,0.002,0.3,,,19,2,2,10,,1,,1,,2026-04-24 01:00,1,0.015,1,0.044
1,,64,0.002,0.3,,,20,2,2,13,,1,,1,,2026-04-23 24:00,1,0.013,1,0.046
1,,66,0.002,0.3,,,21,2,2,9,,1,,1,,2026-04-23 23:00,1,0.012,1,0.048
1,,68,0.002,0.3,,,23,2,2,16,,1,,1,,2026-04-23 22:00,1,0.011,1,0.051
1,,69,0.002,0.3,,,24,2,2,15,,1,,1,,2026-04-23 21:00,1,0.011,1,0.052
1,,69,0.003,0.3,,,25,2,2,18,,1,,1,,2026-04-23 20:00,1,0.012,1,0.053
1,,71,0.002,0.4,,,26,2,2,18,,1,,1,,2026-04-23 19:00,1,0.011,2,0.054
1,,74,0.002,0.3,,,25,2,2,12,,1,,1,,2026-04-23 18:00,1,0.010,2,0.058
